Donor_Age,Blood_Type,Recency (months),Frequency (times),Monetary (c.c. blood),Time (months),Donation_Location,Target
42.0,A-,29.0,30.0,7250,63,Clinic,0
30.0,O-,8.0,2.0,3642,17,Hospital,1
29.0,B-,7.0,15.0,2517,46,Clinic,0
42.0,O+,20.0,48.0,2233,99,Hospital,1
42.0,AB+,3.0,11.0,12088,40,Mobile_Bus,1
53.0,A-,23.0,55.0,972,77,Clinic,1
54.0,O-,22.0,59.0,7746,54,Mobile_Bus,0
55.0,A+,20.0,41.0,5031,15,Mobile_Bus,0
23.0,AB-,1.0,50.0,5444,98,Hospital,0
18.0,AB-,27.0,46.0,698,28,Hospital,1
28.0,O+,25.0,57.0,7174,39,Clinic,0
30.0,O-,9.0,40.0,2213,79,Hospital,1
61.0,B-,15.0,38.0,14901,24,Mobile_Bus,1
52.0,AB+,21.0,34.0,330,89,Hospital,0
43.0,A-,9.0,5.0,11250,52,Mobile_Bus,1
41.0,O-,24.0,27.0,12215,51,Hospital,0
53.0,A-,,24.0,11160,90,Clinic,1
23.0,O-,22.0,37.0,11886,99,Hospital,0
21.0,B-,9.0,50.0,9573,82,Hospital,1
26.0,O+,,57.0,14553,83,Hospital,1
20.0,AB+,29.0,18.0,2681,81,Clinic,1
38.0,O-,,7.0,5573,93,Clinic,0
40.0,O-,23.0,39.0,10065,86,Hospital,0
49.0,O+,25.0,6.0,3652,78,Clinic,0
22.0,O+,15.0,49.0,10393,3,Mobile_Bus,0
63.0,B+,10.0,40.0,947,77,Clinic,0
60.0,AB-,25.0,41.0,5685,80,Mobile_Bus,1
48.0,A-,23.0,8.0,4198,12,Hospital,1
53.0,B+,8.0,39.0,5638,48,Hospital,1
62.0,A-,6.0,29.0,13234,17,Clinic,0
36.0,O-,,34.0,8426,66,Clinic,1
41.0,AB-,20.0,58.0,4959,80,Clinic,1
26.0,O-,4.0,40.0,9897,24,Mobile_Bus,0
58.0,O+,13.0,43.0,12917,85,Hospital,0
50.0,O+,22.0,13.0,3705,7,Mobile_Bus,1
,O+,22.0,36.0,10664,46,Clinic,1
31.0,B+,7.0,33.0,3109,39,Hospital,1
52.0,A+,17.0,16.0,10391,1,Mobile_Bus,0
,AB-,20.0,16.0,4281,99,Clinic,0
,AB-,24.0,13.0,7557,27,Clinic,0
54.0,O+,2.0,21.0,12329,10,Clinic,1
44.0,O+,29.0,23.0,12767,75,Mobile_Bus,0
31.0,A-,,15.0,1005,38,Hospital,1
59.0,AB-,27.0,,2067,64,Clinic,0
42.0,A+,19.0,30.0,5590,77,Mobile_Bus,1
39.0,B+,7.0,28.0,9166,71,Hospital,0
41.0,B+,8.0,6.0,2266,66,Mobile_Bus,1
63.0,A+,3.0,27.0,3184,24,Mobile_Bus,1
37.0,B-,20.0,56.0,5641,33,Hospital,1
42.0,B+,19.0,39.0,3337,89,Hospital,0
62.0,A+,6.0,9.0,11587,96,Mobile_Bus,1
44.0,B-,2.0,43.0,8875,59,Clinic,0
24.0,A+,3.0,48.0,5040,80,Hospital,1
53.0,B-,21.0,46.0,13660,57,Clinic,0
24.0,AB-,23.0,11.0,2480,19,Clinic,1
41.0,O-,19.0,51.0,6893,1,Hospital,1
24.0,O-,26.0,53.0,11032,76,Mobile_Bus,0
,O+,22.0,4.0,6971,18,Clinic,1
52.0,A-,10.0,32.0,13310,41,Mobile_Bus,1
55.0,AB+,29.0,43.0,2989,46,Clinic,0
33.0,B+,16.0,24.0,8043,79,Hospital,0
30.0,O-,25.0,16.0,9743,63,Clinic,1
36.0,O+,2.0,16.0,13176,6,Hospital,1
46.0,O-,23.0,31.0,4823,39,Hospital,1
44.0,B-,13.0,51.0,14299,95,Mobile_Bus,0
46.0,AB+,16.0,21.0,10721,70,Hospital,1
56.0,A-,1.0,2.0,8888,56,Mobile_Bus,1
60.0,AB-,13.0,44.0,7172,53,Hospital,0
,O+,24.0,20.0,8832,95,Mobile_Bus,1
58.0,B-,19.0,49.0,13308,94,Mobile_Bus,0
20.0,AB+,5.0,21.0,14601,25,Hospital,0
,A+,26.0,54.0,2545,36,Clinic,0
46.0,B-,5.0,,1683,44,Clinic,1
31.0,A+,9.0,24.0,5859,73,Mobile_Bus,0
35.0,O-,28.0,36.0,9976,73,Mobile_Bus,0
42.0,O-,,41.0,14828,49,Hospital,0
47.0,AB-,16.0,43.0,4247,51,Mobile_Bus,1
18.0,O-,23.0,13.0,8613,77,Clinic,1
21.0,O+,1.0,10.0,5843,39,Mobile_Bus,1
57.0,AB-,27.0,26.0,8493,88,Mobile_Bus,1
36.0,AB+,25.0,36.0,13723,10,Hospital,0
37.0,AB-,17.0,44.0,3889,2,Mobile_Bus,0
50.0,B-,5.0,42.0,14097,97,Hospital,1
19.0,O-,23.0,40.0,6411,4,Mobile_Bus,1
64.0,A+,,24.0,7488,33,Mobile_Bus,1
55.0,A+,12.0,21.0,12828,95,Mobile_Bus,0
37.0,AB-,4.0,30.0,5924,58,Mobile_Bus,0
20.0,A-,29.0,2.0,778,44,Hospital,1
150.0,AB-,19.0,45.0,10165,71,Mobile_Bus,0
50.0,O+,6.0,12.0,3404,46,Clinic,0
61.0,B-,18.0,11.0,9983,31,Mobile_Bus,1
45.0,B-,5.0,53.0,13786,34,Clinic,1
44.0,B-,1.0,24.0,10679,58,Hospital,0
39.0,O+,9.0,15.0,7542,69,Clinic,0
41.0,B+,24.0,11.0,11929,43,Clinic,1
24.0,O+,6.0,25.0,668,44,Clinic,0
58.0,A+,18.0,10.0,1881,44,Hospital,1
55.0,B+,24.0,40.0,11152,62,Mobile_Bus,0
64.0,B+,8.0,4.0,11624,35,Clinic,0
59.0,A+,3.0,27.0,8224,58,Mobile_Bus,1
20.0,B+,29.0,11.0,9197,40,Mobile_Bus,0
24.0,B+,6.0,54.0,4927,29,Clinic,0
62.0,B+,27.0,1.0,5685,63,Mobile_Bus,1
63.0,A+,20.0,57.0,14489,31,Hospital,0
45.0,O-,24.0,59.0,6575,48,Hospital,1
19.0,B-,11.0,33.0,14619,65,Mobile_Bus,1
63.0,O-,14.0,57.0,755,48,Clinic,0
23.0,O-,1.0,6.0,3368,64,Mobile_Bus,1
38.0,B+,8.0,43.0,517,29,Hospital,0
60.0,AB-,7.0,13.0,14356,64,Hospital,1
42.0,O-,3.0,59.0,7295,37,Mobile_Bus,1
46.0,O-,11.0,25.0,9214,67,Hospital,0
25.0,AB-,24.0,47.0,12679,28,Clinic,0
48.0,O+,18.0,55.0,8935,96,Clinic,1
32.0,O-,8.0,27.0,4831,63,Clinic,0
30.0,AB+,17.0,31.0,14610,96,Clinic,1
35.0,B-,9.0,58.0,8440,69,Hospital,1
32.0,O+,23.0,46.0,8714,14,Hospital,1
43.0,O-,14.0,19.0,11450,41,Mobile_Bus,0
22.0,B-,1.0,7.0,13330,7,Mobile_Bus,1
25.0,A+,3.0,5.0,1719,30,Clinic,1
35.0,O-,20.0,14.0,1898,87,Mobile_Bus,1
23.0,AB-,12.0,59.0,3859,33,Mobile_Bus,0
33.0,B-,14.0,25.0,9184,54,Clinic,1
29.0,B-,21.0,,14750,85,Clinic,0
35.0,AB-,28.0,40.0,3366,70,Mobile_Bus,0
63.0,O-,10.0,34.0,4579,24,Hospital,0
36.0,A-,26.0,25.0,14084,8,Clinic,0
45.0,A-,14.0,4.0,11017,35,Hospital,0
46.0,A+,11.0,59.0,14947,64,Hospital,1
51.0,A+,3.0,5.0,6519,28,Hospital,0
27.0,A+,20.0,23.0,12059,58,Mobile_Bus,0
,O-,10.0,45.0,12042,64,Hospital,1
40.0,AB+,8.0,,5520,2,Hospital,1
62.0,B+,15.0,52.0,13435,84,Clinic,0
34.0,A+,,15.0,5697,3,Mobile_Bus,0
58.0,B+,29.0,21.0,4088,94,Hospital,1
35.0,O+,5.0,54.0,5239,44,Clinic,1
18.0,A+,21.0,32.0,10946,77,Clinic,0
44.0,O-,22.0,17.0,814,53,Clinic,0
47.0,B+,24.0,58.0,3715,56,Mobile_Bus,0
38.0,AB+,15.0,25.0,10612,14,Clinic,1
60.0,B+,14.0,32.0,10122,67,Mobile_Bus,1
63.0,AB-,20.0,50.0,6705,10,Mobile_Bus,0
23.0,B+,4.0,19.0,14981,30,Mobile_Bus,0
50.0,B+,21.0,56.0,13412,61,Clinic,0
54.0,AB+,3.0,53.0,12357,74,Clinic,1
51.0,A+,24.0,2.0,2675,88,Mobile_Bus,0
19.0,O+,3.0,13.0,9302,42,Mobile_Bus,1
58.0,AB-,17.0,56.0,2520,53,Mobile_Bus,1
29.0,B-,6.0,39.0,1086,99,Hospital,1
63.0,A-,22.0,2.0,2234,5,Mobile_Bus,0
22.0,AB-,,8.0,7705,28,Clinic,1
28.0,AB+,5.0,14.0,13955,80,Hospital,0
52.0,O-,21.0,38.0,12378,50,Hospital,0
52.0,B+,16.0,16.0,4610,28,Hospital,0
30.0,O+,25.0,,5525,26,Hospital,0
33.0,B-,15.0,29.0,9076,86,Mobile_Bus,0
150.0,O+,9.0,22.0,10069,41,Mobile_Bus,0
40.0,B-,20.0,36.0,8643,7,Hospital,0
31.0,A-,29.0,35.0,12520,27,Hospital,1
27.0,O+,7.0,6.0,3730,62,Clinic,0
57.0,AB-,23.0,12.0,7418,67,Mobile_Bus,1
60.0,O+,25.0,28.0,4333,58,Hospital,0
38.0,B-,6.0,28.0,3108,53,Hospital,0
30.0,O+,16.0,47.0,2222,70,Clinic,1
20.0,A-,7.0,58.0,10539,92,Hospital,1
35.0,B-,,14.0,9843,95,Clinic,1
58.0,A-,26.0,27.0,4209,97,Clinic,0
48.0,O+,19.0,41.0,636,66,Clinic,1
62.0,O+,9.0,,14015,67,Hospital,0
44.0,AB-,6.0,49.0,12535,16,Clinic,1
58.0,O-,4.0,56.0,5176,16,Hospital,0
60.0,O-,28.0,39.0,13347,31,Mobile_Bus,1
48.0,AB-,8.0,2.0,7779,72,Mobile_Bus,1
50.0,AB-,3.0,15.0,1912,61,Mobile_Bus,0
56.0,O-,,9.0,9643,17,Mobile_Bus,1
41.0,AB+,10.0,5.0,9323,75,Hospital,1
,B-,19.0,,532,31,Hospital,1
38.0,B+,6.0,29.0,2476,67,Hospital,1
22.0,A-,10.0,8.0,801,95,Hospital,1
21.0,AB+,8.0,29.0,10171,51,Clinic,0
34.0,O+,11.0,,11831,84,Clinic,1
36.0,O-,4.0,42.0,9014,6,Mobile_Bus,0
36.0,O-,20.0,36.0,11516,46,Mobile_Bus,0
55.0,AB+,,25.0,14208,17,Hospital,0
18.0,AB+,11.0,9.0,2147,52,Clinic,0
,AB+,22.0,37.0,7238,69,Clinic,1
23.0,B-,7.0,56.0,6539,92,Clinic,1
58.0,B-,20.0,16.0,11688,13,Hospital,1
55.0,B-,26.0,15.0,8967,80,Hospital,0
63.0,AB-,29.0,58.0,1964,39,Mobile_Bus,0
46.0,A-,,49.0,1818,64,Clinic,0
42.0,A-,3.0,46.0,8916,46,Hospital,0
54.0,AB-,2.0,45.0,6050,17,Mobile_Bus,0
18.0,O-,11.0,15.0,13312,69,Mobile_Bus,1
20.0,A+,,42.0,11840,9,Clinic,1
59.0,A+,23.0,12.0,13083,96,Mobile_Bus,0
24.0,AB-,,,4252,92,Clinic,0
50.0,B+,6.0,45.0,646,15,Clinic,1
43.0,A-,16.0,30.0,14320,85,Hospital,0
33.0,O+,12.0,52.0,7603,65,Hospital,1
28.0,O+,1.0,49.0,1125,32,Hospital,0
53.0,O-,20.0,25.0,873,68,Hospital,0
39.0,AB+,12.0,51.0,533,12,Clinic,0
29.0,B-,1.0,13.0,13962,3,Mobile_Bus,1
63.0,B+,28.0,31.0,2294,24,Clinic,0
31.0,A+,14.0,26.0,6960,21,Mobile_Bus,1
30.0,O-,,45.0,5884,56,Clinic,0
56.0,O-,16.0,37.0,13976,68,Mobile_Bus,0
57.0,AB-,21.0,2.0,3870,97,Clinic,1
54.0,A-,21.0,28.0,4760,47,Mobile_Bus,1
59.0,AB+,24.0,16.0,10499,5,Hospital,0
49.0,B+,23.0,34.0,6447,44,Clinic,0
33.0,O-,2.0,56.0,12155,18,Mobile_Bus,0
28.0,B-,,52.0,3467,47,Mobile_Bus,1
59.0,AB+,16.0,28.0,2150,67,Clinic,0
21.0,A+,5.0,17.0,10511,48,Clinic,0
19.0,A+,20.0,29.0,12856,87,Hospital,1
,O-,25.0,31.0,5240,82,Mobile_Bus,1
40.0,B+,23.0,48.0,9412,62,Mobile_Bus,1
51.0,B-,11.0,12.0,11709,80,Mobile_Bus,0
35.0,A+,7.0,20.0,13189,91,Hospital,1
48.0,O-,1.0,45.0,6019,74,Mobile_Bus,1
35.0,B-,12.0,,9024,84,Clinic,1
33.0,AB-,28.0,26.0,14291,94,Clinic,1
49.0,A-,12.0,,12832,84,Mobile_Bus,0
40.0,A-,25.0,42.0,11086,82,Clinic,1
19.0,A-,24.0,36.0,8561,32,Hospital,1
18.0,A-,3.0,8.0,6899,48,Clinic,0
43.0,AB+,17.0,34.0,1833,66,Clinic,0
,AB-,5.0,15.0,443,41,Mobile_Bus,0
22.0,B-,25.0,23.0,5587,51,Hospital,0
52.0,B-,24.0,35.0,7041,76,Clinic,0
63.0,AB-,19.0,25.0,749,46,Mobile_Bus,0
50.0,A+,29.0,4.0,1593,78,Clinic,0
45.0,B-,26.0,,12658,84,Clinic,0
44.0,AB+,8.0,44.0,2179,48,Hospital,0
37.0,AB-,8.0,32.0,345,98,Clinic,0
29.0,B-,28.0,20.0,10280,2,Clinic,1
41.0,O-,8.0,9.0,781,64,Clinic,0
45.0,B+,22.0,28.0,14099,10,Clinic,1
22.0,A+,25.0,49.0,9613,32,Mobile_Bus,1
36.0,AB+,5.0,57.0,3495,77,Mobile_Bus,0
35.0,O+,16.0,19.0,2446,26,Hospital,1
48.0,AB-,,58.0,3788,56,Clinic,1
20.0,O-,7.0,55.0,10011,47,Mobile_Bus,1
22.0,AB-,26.0,12.0,4503,18,Clinic,1
26.0,AB+,2.0,11.0,9448,34,Hospital,1
38.0,O+,1.0,46.0,726,17,Hospital,1
48.0,B-,,9.0,2456,46,Hospital,0
37.0,O-,2.0,16.0,2920,89,Mobile_Bus,0
20.0,A-,3.0,18.0,11736,93,Hospital,1
,B+,13.0,26.0,4211,25,Clinic,1
43.0,B+,4.0,52.0,2867,92,Clinic,0
25.0,B+,10.0,27.0,5645,47,Hospital,1
59.0,AB-,9.0,34.0,4139,52,Clinic,1
47.0,A+,1.0,28.0,14442,42,Mobile_Bus,1
56.0,O-,18.0,39.0,9723,16,Mobile_Bus,0
54.0,AB-,17.0,48.0,541,70,Clinic,1
33.0,AB+,3.0,50.0,10194,28,Hospital,1
28.0,O-,24.0,53.0,674,65,Hospital,1
,A-,14.0,31.0,7287,13,Clinic,1
61.0,AB+,4.0,,4560,76,Mobile_Bus,1
43.0,B+,5.0,7.0,6417,70,Clinic,0
60.0,A+,20.0,43.0,4036,72,Mobile_Bus,0
37.0,B+,8.0,22.0,8141,30,Mobile_Bus,0
,B-,,13.0,10202,13,Clinic,1
35.0,AB-,28.0,21.0,7729,52,Hospital,1
56.0,B+,3.0,16.0,6146,74,Clinic,1
57.0,AB-,9.0,19.0,8646,28,Hospital,1
59.0,O+,24.0,17.0,10459,26,Mobile_Bus,1
60.0,B+,25.0,21.0,11459,77,Hospital,1
33.0,B-,,11.0,6765,39,Hospital,1
63.0,A-,24.0,44.0,10444,13,Mobile_Bus,0
20.0,O+,22.0,19.0,11800,27,Mobile_Bus,1
29.0,AB+,6.0,36.0,4196,99,Mobile_Bus,0
55.0,AB-,3.0,40.0,13477,61,Clinic,0
24.0,AB-,26.0,17.0,7594,48,Clinic,0
38.0,AB+,10.0,18.0,7076,1,Hospital,0
57.0,A+,8.0,44.0,2676,92,Hospital,0
41.0,B+,29.0,11.0,2888,65,Hospital,0
18.0,AB-,5.0,30.0,7278,32,Clinic,0
35.0,A-,4.0,15.0,11403,38,Clinic,1
63.0,B-,1.0,54.0,11083,4,Hospital,0
30.0,A-,18.0,53.0,4355,22,Clinic,1
30.0,O-,4.0,55.0,983,63,Clinic,1
37.0,A+,14.0,19.0,999999,1,Clinic,0
34.0,A+,18.0,,13292,19,Mobile_Bus,1
18.0,O-,29.0,50.0,11029,78,Mobile_Bus,0
,AB+,20.0,18.0,3601,64,Clinic,0
58.0,A+,19.0,11.0,340,34,Hospital,0
33.0,O-,27.0,59.0,12262,14,Clinic,1
38.0,O-,17.0,18.0,13914,8,Clinic,1
26.0,O-,4.0,31.0,3640,66,Hospital,0
20.0,O-,6.0,55.0,10915,85,Clinic,1
37.0,A-,22.0,39.0,2573,89,Hospital,1
,B+,28.0,55.0,6390,7,Clinic,1
45.0,B+,25.0,,7030,1,Mobile_Bus,0
57.0,B-,1.0,17.0,6377,93,Clinic,0
44.0,B+,16.0,6.0,999999,32,Clinic,0
42.0,O-,,21.0,361,22,Mobile_Bus,1
36.0,AB+,14.0,56.0,4134,39,Mobile_Bus,1
48.0,AB-,12.0,55.0,5262,33,Mobile_Bus,1
19.0,A+,24.0,16.0,9861,61,Mobile_Bus,0
49.0,O+,16.0,59.0,3936,60,Mobile_Bus,0
62.0,A+,21.0,35.0,14984,57,Mobile_Bus,1
42.0,A-,28.0,23.0,13588,76,Mobile_Bus,0
51.0,O-,22.0,52.0,8926,41,Clinic,0
31.0,B-,26.0,28.0,3253,54,Hospital,0
36.0,B+,23.0,25.0,8933,34,Clinic,0
55.0,A-,11.0,45.0,11574,19,Hospital,0
40.0,O-,4.0,57.0,8856,30,Hospital,1
61.0,O+,9.0,23.0,5135,78,Mobile_Bus,0
,A+,29.0,29.0,4323,8,Mobile_Bus,0
33.0,O-,13.0,36.0,4273,40,Mobile_Bus,0
45.0,AB+,29.0,41.0,5182,58,Mobile_Bus,1
55.0,B-,8.0,18.0,12658,98,Clinic,0
,B-,22.0,39.0,13381,27,Hospital,1
32.0,B-,15.0,36.0,14506,20,Hospital,1
22.0,O+,6.0,58.0,8202,62,Mobile_Bus,1
25.0,A+,25.0,46.0,8095,56,Hospital,0
41.0,B-,22.0,54.0,1933,58,Hospital,0
64.0,B-,26.0,28.0,1269,43,Clinic,0
42.0,B+,29.0,,10957,85,Hospital,1
47.0,O+,28.0,27.0,10775,43,Hospital,0
31.0,A-,20.0,,12587,83,Mobile_Bus,0
64.0,B-,3.0,1.0,12113,67,Clinic,0
38.0,O+,15.0,18.0,9590,23,Hospital,1
61.0,B-,,26.0,1533,47,Hospital,1
20.0,AB-,14.0,27.0,2621,97,Mobile_Bus,1
49.0,AB+,28.0,58.0,2750,97,Hospital,1
62.0,A-,19.0,39.0,4154,12,Clinic,1
28.0,B+,19.0,25.0,2119,62,Mobile_Bus,1
,B-,17.0,25.0,595,23,Clinic,0
41.0,B-,1.0,32.0,9269,2,Hospital,0
37.0,A-,14.0,20.0,5922,73,Hospital,0
38.0,B+,22.0,24.0,11075,58,Clinic,0
48.0,O+,,53.0,597,61,Hospital,0
,B-,22.0,8.0,5370,70,Hospital,0
47.0,B+,15.0,55.0,3294,56,Clinic,1
61.0,AB-,29.0,51.0,6658,25,Clinic,1
48.0,A+,16.0,24.0,13259,3,Hospital,0
28.0,B+,5.0,59.0,3863,85,Mobile_Bus,0
31.0,AB-,24.0,19.0,2744,12,Clinic,1
55.0,AB+,,45.0,14881,14,Clinic,1
33.0,O+,26.0,15.0,7502,12,Clinic,0
25.0,A+,20.0,53.0,1534,13,Clinic,1
58.0,AB+,20.0,42.0,2902,62,Clinic,1
45.0,AB-,19.0,38.0,14516,32,Hospital,0
62.0,O-,24.0,52.0,10501,41,Mobile_Bus,0
39.0,AB-,8.0,16.0,7339,18,Mobile_Bus,0
60.0,AB+,19.0,55.0,6073,32,Hospital,0
28.0,AB-,27.0,16.0,7954,89,Mobile_Bus,0
38.0,A-,16.0,9.0,8051,51,Hospital,1
27.0,O-,5.0,37.0,3002,59,Clinic,1
49.0,AB+,9.0,45.0,6601,7,Mobile_Bus,0
23.0,O+,9.0,59.0,14509,31,Hospital,0
46.0,A-,11.0,13.0,2418,33,Hospital,1
29.0,B+,26.0,15.0,11247,92,Mobile_Bus,1
57.0,AB+,6.0,45.0,6027,12,Hospital,0
47.0,AB+,1.0,29.0,12102,89,Clinic,0
52.0,A+,5.0,9.0,6022,85,Mobile_Bus,1
42.0,O+,14.0,28.0,1487,96,Mobile_Bus,1
58.0,AB+,23.0,6.0,3863,44,Mobile_Bus,1
40.0,B-,27.0,14.0,14508,49,Mobile_Bus,0
48.0,O-,7.0,40.0,9584,40,Clinic,1
36.0,A+,15.0,22.0,10509,35,Clinic,1
47.0,O+,23.0,10.0,8604,19,Clinic,1
31.0,O-,27.0,47.0,11541,48,Hospital,1
50.0,B-,6.0,36.0,10379,19,Clinic,0
150.0,AB+,27.0,29.0,5630,41,Clinic,0
34.0,AB+,26.0,34.0,14207,71,Mobile_Bus,1
22.0,AB+,20.0,51.0,12645,11,Clinic,1
30.0,AB-,7.0,24.0,1886,19,Mobile_Bus,0
64.0,B-,22.0,25.0,14275,27,Clinic,0
47.0,A-,19.0,45.0,6852,41,Clinic,1
56.0,AB+,8.0,19.0,7515,92,Mobile_Bus,1
45.0,B+,15.0,56.0,12243,29,Mobile_Bus,1
41.0,B+,11.0,56.0,6955,97,Hospital,0
19.0,O-,24.0,,13648,73,Clinic,0
25.0,O-,24.0,31.0,436,25,Clinic,0
32.0,A+,17.0,45.0,3117,79,Clinic,0
63.0,AB+,3.0,29.0,13049,44,Hospital,0
51.0,AB+,6.0,50.0,4504,6,Hospital,0
46.0,AB-,10.0,10.0,8706,36,Mobile_Bus,1
,O+,27.0,14.0,14258,78,Clinic,0
28.0,AB-,28.0,36.0,7420,59,Hospital,0
50.0,B-,13.0,9.0,7910,26,Hospital,1
28.0,A-,7.0,50.0,1932,36,Mobile_Bus,1
32.0,B+,1.0,34.0,1708,57,Mobile_Bus,1
25.0,AB+,15.0,8.0,1977,47,Clinic,1
24.0,O+,27.0,2.0,7366,69,Clinic,1
28.0,AB-,10.0,22.0,8526,21,Clinic,0
41.0,AB-,13.0,48.0,1762,34,Hospital,0
57.0,B-,20.0,11.0,8962,67,Mobile_Bus,1
41.0,B+,24.0,33.0,3041,90,Mobile_Bus,1
46.0,B-,,23.0,8138,15,Hospital,0
58.0,B-,5.0,,6081,47,Mobile_Bus,0
33.0,O-,6.0,55.0,6746,15,Clinic,0
40.0,B-,,7.0,12456,9,Clinic,0
21.0,AB-,22.0,17.0,10580,58,Mobile_Bus,0
22.0,B-,17.0,31.0,11116,98,Clinic,0
49.0,O-,11.0,21.0,14437,76,Hospital,1
26.0,B+,22.0,46.0,2612,81,Hospital,0
22.0,B-,29.0,46.0,9252,30,Clinic,1
54.0,B-,3.0,38.0,858,64,Mobile_Bus,1
20.0,O+,16.0,58.0,11246,47,Clinic,0
59.0,O-,5.0,14.0,3138,82,Hospital,1
36.0,B+,13.0,57.0,2684,34,Clinic,1
53.0,A+,9.0,2.0,4387,93,Mobile_Bus,1
39.0,AB-,29.0,55.0,4877,31,Hospital,0
27.0,AB+,10.0,43.0,12587,97,Hospital,0
26.0,AB-,5.0,33.0,2324,38,Clinic,1
22.0,AB-,8.0,53.0,437,83,Hospital,1
54.0,B-,21.0,29.0,7683,63,Clinic,1
26.0,O-,10.0,25.0,8669,73,Hospital,0
18.0,A-,15.0,14.0,8736,63,Mobile_Bus,1
33.0,B+,5.0,33.0,323,87,Hospital,0
57.0,O-,23.0,24.0,8010,13,Hospital,1
45.0,O-,13.0,40.0,2257,37,Clinic,1
52.0,AB-,27.0,59.0,2987,25,Clinic,0
46.0,A-,8.0,33.0,3743,60,Mobile_Bus,1
56.0,O+,29.0,59.0,5453,66,Hospital,1
56.0,B+,7.0,28.0,8904,3,Hospital,1
44.0,O+,19.0,27.0,7878,96,Clinic,1
36.0,AB-,1.0,38.0,515,34,Clinic,1
38.0,A-,9.0,6.0,4007,13,Mobile_Bus,1
38.0,B+,12.0,12.0,6208,81,Mobile_Bus,0
42.0,A+,13.0,43.0,6245,63,Clinic,1
63.0,O-,8.0,7.0,13270,38,Clinic,0
59.0,B-,18.0,40.0,10322,3,Mobile_Bus,1
27.0,O+,10.0,18.0,12033,52,Clinic,1
58.0,B+,19.0,50.0,11733,82,Clinic,0
150.0,O+,20.0,22.0,4601,54,Clinic,1
18.0,A-,10.0,43.0,6291,88,Clinic,1
26.0,O-,29.0,14.0,12088,64,Mobile_Bus,1
38.0,A-,28.0,12.0,813,81,Clinic,0
57.0,O-,29.0,17.0,11830,46,Clinic,1
37.0,A+,16.0,55.0,835,8,Mobile_Bus,1
64.0,AB+,15.0,36.0,2736,34,Hospital,0
63.0,O+,1.0,27.0,3144,40,Hospital,1
24.0,A+,9.0,6.0,3598,53,Clinic,1
44.0,O+,13.0,17.0,2736,18,Clinic,1
36.0,A-,4.0,17.0,14297,80,Clinic,1
46.0,A+,17.0,12.0,5816,9,Clinic,1
43.0,AB+,20.0,22.0,13185,19,Mobile_Bus,1
37.0,B+,6.0,36.0,5645,40,Clinic,0
45.0,A+,7.0,,11659,47,Hospital,0
46.0,B-,7.0,3.0,14241,69,Hospital,0
47.0,AB+,25.0,54.0,9719,51,Mobile_Bus,0
45.0,AB+,29.0,25.0,4696,68,Clinic,0
64.0,A-,2.0,38.0,7670,85,Hospital,1
21.0,AB-,17.0,48.0,8013,59,Mobile_Bus,1
40.0,O+,3.0,3.0,11468,31,Clinic,0
43.0,O+,17.0,45.0,14059,35,Clinic,1
33.0,A-,24.0,11.0,6283,91,Hospital,0
19.0,AB+,11.0,38.0,7804,2,Mobile_Bus,0
,AB+,29.0,1.0,1341,23,Clinic,1
28.0,B-,6.0,1.0,303,82,Clinic,1
53.0,AB-,20.0,9.0,971,19,Mobile_Bus,0
49.0,B+,1.0,,7495,90,Mobile_Bus,0
29.0,AB+,7.0,6.0,5289,35,Hospital,0
29.0,A-,27.0,31.0,4139,16,Hospital,1
24.0,O+,13.0,55.0,6178,52,Mobile_Bus,1
26.0,B+,5.0,40.0,13446,69,Mobile_Bus,0
56.0,B-,1.0,23.0,366,39,Clinic,1
33.0,A+,11.0,34.0,14590,52,Clinic,0
53.0,O-,29.0,52.0,999999,94,Clinic,1
26.0,A+,9.0,8.0,329,15,Mobile_Bus,1
28.0,B-,28.0,40.0,2317,91,Mobile_Bus,0
54.0,B+,24.0,38.0,11634,25,Mobile_Bus,0
31.0,O-,6.0,19.0,13441,91,Hospital,0
26.0,AB-,22.0,42.0,4708,3,Mobile_Bus,1
35.0,AB-,24.0,13.0,11310,40,Clinic,0
41.0,A-,28.0,29.0,7662,98,Clinic,0
36.0,A-,19.0,59.0,14537,26,Clinic,0
19.0,A+,18.0,57.0,11352,40,Clinic,1
60.0,AB+,4.0,,1374,71,Hospital,0
24.0,AB-,5.0,50.0,2831,31,Mobile_Bus,0
42.0,AB-,1.0,27.0,6489,52,Clinic,1
54.0,O-,10.0,23.0,7057,56,Hospital,1
35.0,AB+,21.0,46.0,10977,3,Hospital,0
28.0,A+,26.0,29.0,9868,17,Mobile_Bus,0
31.0,AB+,6.0,43.0,6441,27,Mobile_Bus,0
28.0,O-,22.0,34.0,10426,62,Mobile_Bus,1
38.0,A+,17.0,34.0,13356,74,Mobile_Bus,1
28.0,O-,29.0,11.0,6853,21,Hospital,1
58.0,AB-,2.0,39.0,7886,11,Clinic,0
43.0,B+,24.0,27.0,7606,42,Mobile_Bus,0
,AB-,21.0,24.0,9945,99,Hospital,0
47.0,O-,18.0,15.0,5372,58,Hospital,1
24.0,A-,16.0,16.0,972,28,Clinic,0
46.0,O+,26.0,39.0,10392,86,Hospital,1
27.0,AB+,26.0,18.0,12283,92,Clinic,0
56.0,A+,22.0,57.0,3487,70,Mobile_Bus,0
20.0,O+,11.0,38.0,13985,35,Mobile_Bus,1
